4651
b0561	b0561	protein_coding
b0562	b0562	pseudogene
b0563	b0563	protein_coding
b0564	b0564	protein_coding
b0565	b0565	protein_coding
b0566	b0566	protein_coding
b0567	b0567	protein_coding
b0568	b0568	protein_coding
b0569	b0569	protein_coding
b0570	b0570	protein_coding
b0571	b0571	protein_coding
b0572	b0572	protein_coding
b0573	b0573	protein_coding
b0574	b0574	protein_coding
b0575	b0575	protein_coding
b0576	b0576	protein_coding
b0577	b0577	protein_coding
b0578	b0578	protein_coding
b0579	b0579	protein_coding
b0580	b0580	protein_coding
b0581	b0581	protein_coding
b4835	b4835	ncRNA
b4415	b4415	protein_coding
b0582	b0582	protein_coding
b0583	b0583	protein_coding
b0584	b0584	protein_coding
b0585	b0585	protein_coding
b4511	b4511	protein_coding
b0586	b0586	protein_coding
b0587	b0587	protein_coding
b0588	b0588	protein_coding
b0589	b0589	protein_coding
b0590	b0590	protein_coding
b0591	b0591	protein_coding
b0592	b0592	protein_coding
b0593	b0593	protein_coding
b0594	b0594	protein_coding
b0595	b0595	protein_coding
b0596	b0596	protein_coding
b0597	b0597	protein_coding
b0598	b0598	protein_coding
b4512	b4512	protein_coding
b0599	b0599	protein_coding
b0600	b0600	protein_coding
b0601	b0601	protein_coding
b0602	b0602	protein_coding
b0603	b0603	protein_coding
b0604	b0604	protein_coding
b0605	b0605	protein_coding
b0606	b0606	protein_coding
b0607	b0607	protein_coding
b0608	b0608	protein_coding
b4734	b4734	protein_coding
b0610	b0610	protein_coding
b0611	b0611	protein_coding
b0612	b0612	protein_coding
b0613	b0613	protein_coding
b0614	b0614	protein_coding
b0615	b0615	protein_coding
b0616	b0616	protein_coding
b0617	b0617	protein_coding
b0618	b0618	protein_coding
b0619	b0619	protein_coding
b0620	b0620	protein_coding
b0621	b0621	protein_coding
b0622	b0622	protein_coding
b0623	b0623	protein_coding
b0624	b0624	protein_coding
b4581	b4581	pseudogene
b0627	b0627	protein_coding
b0628	b0628	protein_coding
b0629	b0629	protein_coding
b0630	b0630	protein_coding
b0631	b0631	protein_coding
b0632	b0632	protein_coding
b0633	b0633	protein_coding
b0634	b0634	protein_coding
b0635	b0635	protein_coding
b0636	b0636	protein_coding
b0637	b0637	protein_coding
b0638	b0638	protein_coding
b0639	b0639	protein_coding
b0640	b0640	protein_coding
b0641	b0641	protein_coding
b0642	b0642	protein_coding
b0643	b0643	protein_coding
b0644	b0644	protein_coding
b0645	b0645	protein_coding
b0646	b0646	protein_coding
b0647	b0647	protein_coding
b0648	b0648	protein_coding
b0649	b0649	protein_coding
b0650	b0650	protein_coding
b0651	b0651	protein_coding
b0652	b0652	protein_coding
b0653	b0653	protein_coding
b0654	b0654	protein_coding
b4763	b4763	ncRNA
b0655	b0655	protein_coding
b0656	b0656	protein_coding
b0657	b0657	protein_coding
b0658	b0658	protein_coding
b0659	b0659	protein_coding
b0660	b0660	protein_coding
b0661	b0661	protein_coding
b0662	b0662	protein_coding
b0664	b0664	tRNA
b0665	b0665	tRNA
b0666	b0666	tRNA
b0668	b0668	tRNA
b0670	b0670	tRNA
b0672	b0672	tRNA
b0673	b0673	tRNA
b0674	b0674	protein_coding
b0675	b0675	protein_coding
b0676	b0676	protein_coding
b0677	b0677	protein_coding
b0678	b0678	protein_coding
b0679	b0679	protein_coding
b0680	b0680	protein_coding
b4808	b4808	ncRNA
b0681	b0681	protein_coding
b0682	b0682	protein_coding
b0683	b0683	protein_coding
b4637	b4637	protein_coding
b0684	b0684	protein_coding
b0685	b0685	protein_coding
b0686	b0686	protein_coding
b0687	b0687	protein_coding
b0688	b0688	protein_coding
b0689	b0689	protein_coding
b0691	b0691	pseudogene
b4636	b4636	pseudogene
b0692	b0692	protein_coding
b0693	b0693	protein_coding
b4803	b4803	protein_coding
b0694	b0694	protein_coding
b0695	b0695	protein_coding
b0696	b0696	protein_coding
b0697	b0697	protein_coding
b0698	b0698	protein_coding
b4513	b4513	protein_coding
b0699	b0699	protein_coding
b0700	b0700	protein_coding
b0702	b0702	protein_coding
b0703	b0703	pseudogene
b0704	b0704	protein_coding
b4514	b4514	protein_coding
b0705	b0705	pseudogene
b0706	b0706	protein_coding
b0707	b0707	protein_coding
b0708	b0708	protein_coding
b0709	b0709	protein_coding
b0710	b0710	protein_coding
b0711	b0711	protein_coding
b0712	b0712	protein_coding
b0713	b0713	protein_coding
b0714	b0714	protein_coding
b0715	b0715	protein_coding
b0716	b0716	protein_coding
b0717	b0717	protein_coding
b0718	b0718	protein_coding
b0719	b0719	protein_coding
b0720	b0720	protein_coding
b4768	b4768	protein_coding
b4735	b4735	protein_coding
b0721	b0721	protein_coding
b0722	b0722	protein_coding
b0723	b0723	protein_coding
b0724	b0724	protein_coding
b0726	b0726	protein_coding
b0727	b0727	protein_coding
b0728	b0728	protein_coding
b0729	b0729	protein_coding
b4764	b4764	ncRNA
b0730	b0730	protein_coding
b0731	b0731	protein_coding
b0732	b0732	protein_coding
b0733	b0733	protein_coding
b0734	b0734	protein_coding
b4515	b4515	protein_coding
b0735	b0735	protein_coding
b0736	b0736	protein_coding
b0737	b0737	protein_coding
b0738	b0738	protein_coding
b0739	b0739	protein_coding
b0740	b0740	protein_coding
b0741	b0741	protein_coding
b0742	b0742	protein_coding
b0743	b0743	tRNA
b0744	b0744	tRNA
b0745	b0745	tRNA
b0746	b0746	tRNA
b0747	b0747	tRNA
b0748	b0748	tRNA
b0749	b0749	tRNA
b0750	b0750	protein_coding
b0751	b0751	protein_coding
b0752	b0752	protein_coding
b0753	b0753	protein_coding
b0754	b0754	protein_coding
b0755	b0755	protein_coding
b0756	b0756	protein_coding
b0757	b0757	protein_coding
b0758	b0758	protein_coding
b0759	b0759	protein_coding
b0760	b0760	protein_coding
b0761	b0761	protein_coding
b0762	b0762	protein_coding
b0763	b0763	protein_coding
b0764	b0764	protein_coding
b0765	b0765	protein_coding
b0766	b0766	protein_coding
b0767	b0767	protein_coding
b0768	b0768	protein_coding
b0769	b0769	protein_coding
